lambda_tau,lambda_psi,word_score,wer
1.2,0.1,0.5,22.93
1.0,0.1,0.5,22.967
1.2,0.1,1.0,23.004
1.0,0.1,1.0,23.077
1.5,0.1,1.0,23.077
1.2,0.1,1.5,23.077
1.5,0.1,0.5,23.114
0.8,0.1,0.5,23.15
1.5,0.1,1.5,23.15
1.0,0.1,1.5,23.187
0.8,0.1,1.0,23.26
1.2,0.3,1.0,23.333
1.5,0.3,0.5,23.333
1.5,0.3,1.0,23.333
1.2,0.3,0.5,23.333
0.8,0.1,1.5,23.407
1.0,0.3,0.5,23.443
1.0,0.3,1.0,23.48
1.5,0.3,1.5,23.48
0.8,0.3,1.0,23.516
1.2,0.3,1.5,23.553
0.8,0.3,0.5,23.59
1.2,0.5,0.5,23.736
1.5,0.5,0.5,23.81
0.5,0.1,1.5,23.81
0.5,0.1,0.5,23.846
1.0,0.3,1.5,23.883
0.5,0.1,1.0,23.883
0.8,0.3,1.5,23.919
0.3,0.1,0.5,23.919
1.5,0.5,1.0,23.993
1.5,0.5,1.5,23.993
1.2,0.5,1.0,24.066
0.3,0.1,1.5,24.066
1.5,0.8,0.5,24.103
1.2,0.5,1.5,24.103
0.3,0.1,1.0,24.103
1.5,0.8,1.0,24.139
1.0,0.5,0.5,24.139
0.8,0.5,0.5,24.212
0.5,0.3,0.5,24.212
1.5,0.8,1.5,24.249
1.0,0.5,1.0,24.286
1.0,0.5,1.5,24.359
0.8,0.5,1.0,24.469
1.2,0.8,0.5,24.469
0.5,0.3,1.0,24.505
0.8,0.5,1.5,24.542
1.2,0.8,1.0,24.542
1.5,1.0,0.5,24.542
1.5,1.0,1.0,24.579
0.5,0.3,1.5,24.579
1.2,0.8,1.5,24.615
1.5,1.0,1.5,24.725
1.0,0.8,0.5,24.835
1.0,0.8,1.0,24.835
1.2,1.0,0.5,24.835
1.0,0.8,1.5,24.872
1.2,1.0,1.0,24.872
1.2,1.0,1.5,24.982
