lm_weight,word_score,wer
0.8,1.5,23.3
0.8,1.0,23.37
0.8,0.0,23.44
1.0,1.5,23.44
1.0,1.0,23.44
0.65,0.5,23.52
0.8,0.5,23.52
0.65,1.0,23.55
0.8,-0.5,23.55
1.0,0.0,23.55
0.65,1.5,23.59
0.5,1.0,23.63
1.0,0.5,23.63
0.5,-0.5,23.66
0.65,0.0,23.66
0.5,0.0,23.66
0.5,1.5,23.66
0.65,-0.5,23.66
0.65,-1.0,23.7
0.5,0.5,23.74
0.35,1.0,23.77
0.8,-1.0,23.77
1.0,-0.5,23.77
0.5,-1.0,23.85
0.35,0.0,23.85
0.35,0.5,23.92
0.35,-1.0,23.96
0.35,-0.5,23.96
0.35,1.5,23.99
0.2,0.0,24.1
1.0,-1.0,24.43
0.2,-0.5,24.54
0.2,0.5,24.54
0.2,-1.0,24.87
0.2,1.0,24.87
0.2,1.5,25.13
